Replicate,Receptor,Negative,M1,M2,M3,M4,M5
1,Tadh111,1657.360734,2499.130007,2625.074512,2359.464063,2851.010354,1804.83711
1,Tadh113,1103.23087,1738.099387,1595.596565,2042.041575,2195.629891,2087.391714
1,Tadh114,1102.44539,1594.87232,1614.320782,2085.301276,2142.301374,1309.697664
1,Tadh115,1049.59765,1454.031896,1684.463524,2285.496574,1132.619961,1379.894912
1,Tadh116,1191.98473,1914.676182,1737.319281,2421.967839,1557.028864,1380.066125
1,Tadh117,1925.04796,1950.290542,2979.174833,2743.620943,2496.414934,2299.465513
1,Tadh118,1244.75446,1489.753481,1773.539632,2249.110538,1327.735783,1096.452122
1,Tadh119,1298.14289,1365.156918,1206.19025,3561.348193,1539.449005,707.5930752
1,Tadh120,1642.65387,1625.196554,1393.115673,2706.960456,1533.816496,1039.005247
1,Tadh121,2771.321263,2243.128572,2257.662968,2246.145679,2257.006319,2182.895684
1,Tadh122,1253.871657,1272.49172,1622.968251,2300.905125,1129.07769,1303.080634
1,Tadh123,1954.10054,1130.262408,1287.878649,1912.144393,617.179,2077.708328
1,Tadh124,1182.399737,671.3948415,1216.78441,2405.338032,935.4327852,1672.396607
1,Tadh126,1306.350334,2349.000044,1252.1222,1974.991013,986.8092608,1073.978497
1,Tadh127,2100.563447,1730.891787,1763.488269,1806.224649,1234.355354,1426.296442
1,Tadh128,2861.054728,2260.851935,1887.414401,2481.084675,1832.951086,1777.995416
1,Tadh129,1548.874743,2099.794017,1897.747046,1330.094482,1631.351198,1078.443979
1,Tadh130,2029.229159,2098.954935,1702.565642,2067.404687,1310.887116,1272.79345
1,Tadh131,2741.727881,2188.070904,1933.099789,1796.631845,2197.132661,1590.748781
1,Tadh133,2814.530411,2046.093462,1755.968291,2106.962827,1541.916869,1714.382766
1,Tadh134,1869.92262,1725.284924,2127.925856,2321.04159,1435.086576,1608.431959
1,Tadh136,1477.513051,2063.780437,1490.094715,2410.774925,1736.707711,955.2617904
1,Tadh138,1887.634376,1636.319692,1596.516624,2556.288853,1311.117562,1254.825413
1,Tadh139,1620.104341,1885.260912,1702.013248,2666.636133,2108.534366,1377.809844
1,Tadh140,1327.432546,1588.941881,1359.983161,1534.321029,1143.72614,1186.040363
1,Tadh141,1235.443978,803.3820012,670.7763705,1228.679828,928.5591736,672.7798522
1,Tadh142,1161.960492,694.3475867,942.7753644,1147.560107,946.7071433,584.1833389
1,Tadh143,737.3559312,803.865331,1178.737798,659.5058251,803.8121478,938.58022
1,Tadh144,866.3630304,858.5699651,888.5030104,1102.144217,785.7681125,973.5697839
1,Tadh145,921.9954072,785.9843563,743.0803877,813.3748548,678.62625,672.6205903
1,Tadh147,1534.354565,1139.893678,1100.389107,2476.101119,1209.667259,1404.093618
1,Tadh148,1712.083951,1245.516115,1454.942984,2245.627393,1067.090079,978.3041736
1,Tadh149,1621.4268,1672.706593,1029.903792,2366.137661,1689.788186,1209.121261
1,Tadh150,1550.999777,961.0872448,1207.298765,2081.45684,1263.024182,1243.765721
1,Tadh152,1337.340435,1441.552424,1207.668964,2265.435465,1530.066806,1172.701908
1,Tadh153,1906.509723,7421.226292,7829.795688,3323.479045,31032.62,2327.586048
1,Tadh154,2282.419438,1334.686019,1278.478873,2306.411465,1334.186455,1404.166114
1,Tadh155,1442.983663,1548.850123,1474.579616,2961.729315,1351.792922,1031.412133
1,Tadh156,1538.853568,1325.589307,1504.535459,1911.732685,1233.294545,1357.250605
1,Tadh157,1503.815957,1056.470304,1432.582733,2481.542641,1214.483762,1250.746068
1,Tadh158,1861.786666,1290.205834,1145.480694,2983.755846,1214.732219,1518.460005
1,Tadh159,1754.662062,1235.942514,1361.801531,3088.334133,1036.264145,1768.820856
1,Tadh160,1450.311182,1038.770448,1897.586029,3363.845904,1840.601213,1142.924034
1,Tadh163,1110.07271,949.4565416,1468.277714,1988.722786,1036.1467,1286.522487
1,Tadh164,1486.187383,1468.549474,1038.763714,3110.73046,1554.042408,1160.925035
1,Tadh165,1718.856112,14148.35967,13576.38068,6034.359093,9984.563447,750.4860516
1,Tadh166,1246.863232,850.9651257,1354.411529,1173.845062,895.79363,1365.555319
1,Tadh167,1379.261202,1021.388354,1203.809742,1493.573167,1511.340604,1051.973668
1,Tadh168,1152.383078,9764.620567,1955.104475,3041.194102,27595.13744,976.8722795
1,Tadh169,1624.718715,756.1552219,1184.811537,2043.035293,1343.952612,1162.706486
1,Tadh170,1833.344651,6499.205142,9703.704089,7119.44642,11176.41072,2029.673591
2,Tadh111,2226.396473,2444.678042,3306.089572,3548.096809,3685.511998,3097.58401
2,Tadh113,3757.986302,3075.904735,3714.654736,2790.32383,3210.221191,3407.903611
2,Tadh114,1514.459426,1112.327621,1393.117578,1034.597205,770.7759914,1062.909466
2,Tadh115,2744.000706,2204.431205,2674.379134,1440.754086,2016.842185,1722.789766
2,Tadh116,2836.895748,2870.993294,3677.153816,3214.291651,3098.107026,2603.022497
2,Tadh117,1453.658672,1296.038383,2005.968832,1145.626029,1503.750563,1356.022061
2,Tadh118,1639.542294,1426.413041,2061.304819,1423.04261,2329.951612,1795.644009
2,Tadh119,5527.443406,4521.285621,4642.833017,4194.363121,3575.595078,2986.650297
2,Tadh120,1802.770712,979.6721686,1816.857238,1803.764222,3177.08397,2750.520619
2,Tadh121,4769.906019,6933.047209,6608.194359,7358.753852,6261.163235,8321.232628
2,Tadh122,4963.050873,5362.217011,5505.334671,6838.897697,5887.139259,9106.01789
2,Tadh123,3003.887437,4008.51523,3794.994865,2947.569814,4762.96776,3730.23504
2,Tadh124,2508.446305,1834.609036,4775.23912,4196.688579,5298.368308,4980.012181
2,Tadh126,3214.298052,2957.619528,3011.429461,3125.379603,4441.476062,2319.454274
2,Tadh127,3869.574918,5150.293025,6306.866413,5911.890862,5457.75732,5908.633426
2,Tadh128,3726.962241,4685.171604,5327.294819,4374.792302,4799.005376,5105.052758
2,Tadh129,2120.412098,1407.112365,1672.622485,1317.622052,2460.692564,1569.391137
2,Tadh130,3585.977379,4042.912056,4125.936377,4379.801468,4513.496206,2385.628337
2,Tadh131,2826.558098,2921.041014,3344.221031,2991.428026,3424.563468,3690.42316
2,Tadh133,2967.876232,2547.426248,3593.966224,4181.973234,3567.176392,3744.154934
2,Tadh134,3340.011948,5130.594158,4055.862577,5375.694959,6137.171042,5477.003281
2,Tadh136,1837.340795,979.9145174,1476.599691,819.0748984,1391.914212,1766.91785
2,Tadh138,2474.469413,2493.781213,2401.558732,2670.589577,3121.933756,3548.134775
2,Tadh139,2244.04265,2671.378675,3025.186748,3507.134803,3674.538219,3140.404439
2,Tadh140,1893.114378,1444.809713,1815.636871,1883.648462,1641.977214,1744.604257
2,Tadh141,1337.571016,1498.560702,1322.863554,774.6281506,1571.671411,1250.973625
2,Tadh142,2126.485733,1162.381962,1305.459756,1109.825118,1958.824717,1462.108824
2,Tadh143,1295.002586,1832.600864,1164.009567,2006.792956,2349.462595,2714.631733
2,Tadh144,1328.909014,1708.851081,1517.968226,2113.723881,1943.030244,2043.721218
2,Tadh145,1928.142481,1126.567529,1128.314505,1408.707517,1412.437285,2061.685725
1,Tadh112,1579.803034,1021.973243,1163.596489,1180.296433,1289.434557,1303.729141
1,Tadh132,677.2690968,475.6385664,563.9793683,1022.029294,758.9602176,1286.576544
2,Tadh166,1773.201145,1209.882159,1038.046078,1661.642418,788.5786168,1912.932296
2,Tadh167,1099.303182,1121.431068,1753.243405,1930.847956,3113.87919,1615.882575
2,Tadh168,1223.408818,5985.427573,2277.961807,2083.132368,9349.270989,1376.730376
2,Tadh169,992.6899752,1085.672702,697.762244,1304.722509,913.640182,1233.253778
2,Tadh170,1134.547999,4281.14089,4718.532504,3806.579416,6601.615016,1739.051444
3,Tadh170,1223.875145,4602.125096,4396.27079,3734.886205,7997.33551,1114.358426
2,Tadh112,1631.289534,907.8404192,1199.590708,965.6198336,967.263594,1305.878357
2,Tadh132,1117.72547,1085.118892,1718.470356,1001.022078,2418.25285,1752.049842
2,Tadh156,884.68408,1019.310773,696.2749872,1249.776412,1177.303052,1233.134086
2,Tadh157,902.9349432,1161.993934,1445.916965,1535.667694,1766.443181,1911.467978
2,Tadh158,743.3074016,554.3474624,911.0850788,749.4685232,1552.498287,1625.461555
2,Tadh159,993.4010228,1001.05469,1125.043945,803.3532832,1998.950111,1537.443797
2,Tadh160,530.94016,750.4796724,464.1248196,553.3522504,695.9594164,535.5142528
2,Tadh163,1186.267195,804.617144,464.5537844,1106.564466,1213.797358,1393.700895
2,Tadh164,849.6859988,1162.245268,1856.974774,1089.149901,1641.383868,1429.184438
2,Tadh165,1381.175588,8523.30859,11249.29582,5780.178414,11939.62678,3770.012997
2,Tadh147,903.2542464,1024.092489,1956.386948,923.8999216,1318.380708,1250.340318
2,Tadh148,1097.561778,1154.08181,2049.459261,1018.551936,1024.017456,1212.542635
2,Tadh149,1249.610918,838.0906844,1753.722654,888.1500484,1117.192932,1086.190541
2,Tadh150,1050.510206,875.2358256,1217.341021,1053.638632,750.930276,959.5774104
2,Tadh153,876.9564336,5903.976827,4282.246664,3567.007192,6335.737334,941.2431508
2,Tadh152,1361.484488,1377.95994,1809.199062,1348.652024,1921.683547,1032.116925
2,Tadh154,1455.669779,1694.694188,1513.774778,1035.668811,1409.736156,1593.198449
2,Tadh155,1742.241195,1732.098167,5240.71637,1774.798942,2325.447881,1845.918883
1,Tadh171,1964.391292,2527.587407,3581.6096,1585.030239,5052.721231,1222.658497
1,Tadh172,1941.886533,2313.579815,1435.275703,1397.56993,2285.580758,1827.477311
1,Tadh173,2334.677894,1585.601322,2106.634225,1640.310321,8043.612703,1577.894882
2,Tadh172,1180.839274,767.1899495,924.7756433,1010.995106,1017.307216,796.8760156
2,Tadh173,1346.164915,1510.701846,2440.895586,2894.557732,9706.835178,902.7539554
2,Tadh171,1530.15947,1777.428092,2124.545614,1907.411027,2052.340532,1070.342767
1,pcDNA3.1,830.1265884,702.3054654,1025.390787,1330.714008,1417.459529,1599.243516
2,pcDNA3.1,1588.557193,1038.983986,1428.666391,1103.062231,1266.43403,1271.366148
